0.00.165.527 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.169.892 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.169.897 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.170.000 I srv          init: The UI is disabled
0.00.170.000 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.170.090 W srv  llama_server: -----------------
0.00.170.094 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.170.094 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.170.095 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.170.095 W srv  llama_server: -----------------
0.00.186.198 I srv    load_model: loading model 'C:/Projelerim/modeller/bge-m3-q4_k_m.gguf'
0.01.505.963 W load: model vocab missing newline token, using special_pad_id instead
0.01.712.785 I cmn          init: llama threadpool init, n_threads = 12
0.01.741.798 W srv    load_model: speculative decoding not supported by this context
0.01.741.809 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.745.886 I srv  llama_server: model loaded
0.01.745.896 I srv  llama_server: listening on http://127.0.0.1:8123
0.03.269.267 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2998532
0.03.269.277 I slot launch_slot_: id  3 | task 92 | processing task, is_child = 0
0.03.284.452 I slot      release: id  3 | task 92 | stop processing: n_tokens = 10, truncated = 0
0.03.286.919 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3023471
0.03.286.927 I slot launch_slot_: id  2 | task 94 | processing task, is_child = 0
0.03.307.206 I slot      release: id  2 | task 94 | stop processing: n_tokens = 16, truncated = 0
0.03.309.717 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3055955
0.03.309.728 I slot launch_slot_: id  1 | task 96 | processing task, is_child = 0
0.03.324.700 I slot      release: id  1 | task 96 | stop processing: n_tokens = 10, truncated = 0
0.03.340.248 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3103991
0.03.340.256 I slot launch_slot_: id  0 | task 98 | processing task, is_child = 0
0.03.360.128 I slot      release: id  0 | task 98 | stop processing: n_tokens = 16, truncated = 0
0.03.362.265 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3121629
0.03.362.271 I slot launch_slot_: id  3 | task 100 | processing task, is_child = 0
0.03.376.952 I slot      release: id  3 | task 100 | stop processing: n_tokens = 10, truncated = 0
0.03.379.350 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.100
0.03.379.360 I slot launch_slot_: id  3 | task 102 | processing task, is_child = 0
0.03.391.552 I slot      release: id  3 | task 102 | stop processing: n_tokens = 8, truncated = 0
0.03.393.849 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3144384
0.03.393.858 I slot launch_slot_: id  2 | task 104 | processing task, is_child = 0
0.03.414.306 I slot      release: id  2 | task 104 | stop processing: n_tokens = 16, truncated = 0
0.03.416.757 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3161878
0.03.416.763 I slot launch_slot_: id  1 | task 106 | processing task, is_child = 0
0.03.431.487 I slot      release: id  1 | task 106 | stop processing: n_tokens = 10, truncated = 0
0.03.433.981 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3197303
0.03.433.990 I slot launch_slot_: id  0 | task 108 | processing task, is_child = 0
0.03.450.381 I slot      release: id  0 | task 108 | stop processing: n_tokens = 11, truncated = 0
0.03.466.875 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3228730
0.03.466.883 I slot launch_slot_: id  3 | task 110 | processing task, is_child = 0
0.03.483.441 I slot      release: id  3 | task 110 | stop processing: n_tokens = 11, truncated = 0
0.03.485.840 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3251483
0.03.485.849 I slot launch_slot_: id  2 | task 112 | processing task, is_child = 0
0.03.500.868 I slot      release: id  2 | task 112 | stop processing: n_tokens = 10, truncated = 0
0.03.503.275 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3268665
0.03.503.286 I slot launch_slot_: id  1 | task 114 | processing task, is_child = 0
0.03.520.237 I slot      release: id  1 | task 114 | stop processing: n_tokens = 11, truncated = 0
0.03.522.678 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3287558
0.03.522.687 I slot launch_slot_: id  0 | task 116 | processing task, is_child = 0
0.03.539.744 I slot      release: id  0 | task 116 | stop processing: n_tokens = 12, truncated = 0
0.03.542.134 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.083
0.03.542.144 I slot launch_slot_: id  0 | task 118 | processing task, is_child = 0
0.03.554.325 I slot      release: id  0 | task 118 | stop processing: n_tokens = 8, truncated = 0
0.03.556.528 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3320619
0.03.556.539 I slot launch_slot_: id  3 | task 120 | processing task, is_child = 0
0.03.574.840 I slot      release: id  3 | task 120 | stop processing: n_tokens = 13, truncated = 0
0.03.577.254 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3338046
0.03.577.260 I slot launch_slot_: id  2 | task 122 | processing task, is_child = 0
0.03.594.243 I slot      release: id  2 | task 122 | stop processing: n_tokens = 12, truncated = 0
